order_id,customer_id,kategori,kota,metode_pembayaran,pendapatan
O0,17,Makanan,Solo,COD,196650
O1,18,Kesehatan,Magelang,E-Wallet,283512
O2,14,Elektronik,Semarang,COD,108835
O3,13,Kesehatan,Purworejo,Kartu Kredit,390604
O4,2,Fashion,Purworejo,E-Wallet,427224
O5,8,Elektronik,Magelang,Transfer Bank,390878
O6,19,Fashion,Magelang,Kartu Kredit,181060
O7,14,Fashion,Solo,COD,436848
O8,17,Fashion,Semarang,COD,409439
O9,1,Elektronik,Magelang,Transfer Bank,252580
O10,14,Kesehatan,Solo,Kartu Kredit,200631
O11,13,Makanan,Magelang,Transfer Bank,384907
O12,5,Fashion,Purworejo,E-Wallet,258132
O13,3,Kesehatan,Semarang,Transfer Bank,393249
O14,13,Kesehatan,Yogyakarta,COD,179775
O15,2,Rumah Tangga,Yogyakarta,Kartu Kredit,458191
O16,11,Elektronik,Yogyakarta,Transfer Bank,297070
O17,6,Rumah Tangga,Purworejo,Transfer Bank,398881
O18,8,Fashion,Magelang,E-Wallet,251970
O19,18,Fashion,Yogyakarta,COD,122990
O20,18,Rumah Tangga,Purworejo,Transfer Bank,76025
O21,4,Fashion,Magelang,Kartu Kredit,219228
O22,7,Fashion,Magelang,Kartu Kredit,341840
O23,12,Kesehatan,Yogyakarta,Kartu Kredit,416392
O24,19,Rumah Tangga,Semarang,Kartu Kredit,305277
O25,19,Elektronik,Yogyakarta,E-Wallet,400506
O26,1,Elektronik,Semarang,COD,271040
O27,16,Rumah Tangga,Magelang,Kartu Kredit,112809
O28,1,Fashion,Yogyakarta,COD,376067
O29,7,Kesehatan,Yogyakarta,E-Wallet,392429
O30,12,Makanan,Semarang,E-Wallet,97796
O31,11,Makanan,Semarang,Kartu Kredit,168353
O32,13,Kesehatan,Semarang,E-Wallet,328433
O33,15,Elektronik,Semarang,Kartu Kredit,278213
O34,8,Makanan,Purworejo,E-Wallet,402154
O35,16,Makanan,Yogyakarta,Kartu Kredit,214900
O36,1,Kesehatan,Purworejo,E-Wallet,397521
O37,9,Makanan,Magelang,E-Wallet,240688
O38,17,Makanan,Semarang,E-Wallet,219393
O39,6,Kesehatan,Semarang,E-Wallet,135244
O40,8,Rumah Tangga,Semarang,E-Wallet,489380
O41,19,Rumah Tangga,Solo,Kartu Kredit,145383
O42,4,Elektronik,Magelang,E-Wallet,70434
O43,2,Elektronik,Yogyakarta,COD,326604
O44,17,Makanan,Yogyakarta,E-Wallet,475950
O45,4,Fashion,Semarang,COD,385663
O46,9,Kesehatan,Purworejo,Kartu Kredit,364471
O47,18,Rumah Tangga,Yogyakarta,COD,177552
O48,5,Makanan,Magelang,E-Wallet,183907
O49,9,Makanan,Yogyakarta,Kartu Kredit,50151
O50,19,Makanan,Magelang,Transfer Bank,269468
O51,1,Kesehatan,Semarang,COD,275499
O52,15,Elektronik,Yogyakarta,Transfer Bank,97957
O53,20,Elektronik,Yogyakarta,E-Wallet,374080
O54,7,Kesehatan,Solo,Transfer Bank,300743
O55,18,Elektronik,Semarang,E-Wallet,343376
O56,12,Rumah Tangga,Semarang,COD,151884
O57,19,Rumah Tangga,Purworejo,COD,479200
O58,17,Elektronik,Magelang,Transfer Bank,424859
O59,11,Makanan,Magelang,E-Wallet,288455
O60,16,Makanan,Yogyakarta,E-Wallet,454875
O61,15,Fashion,Yogyakarta,COD,439610
O62,1,Fashion,Purworejo,Kartu Kredit,131764
O63,13,Fashion,Semarang,COD,328564
O64,9,Rumah Tangga,Magelang,Transfer Bank,286261
O65,9,Kesehatan,Yogyakarta,Transfer Bank,66427
O66,5,Kesehatan,Purworejo,COD,61407
O67,2,Kesehatan,Magelang,E-Wallet,305813
O68,2,Makanan,Semarang,Transfer Bank,421528
O69,10,Elektronik,Yogyakarta,Kartu Kredit,289700
O70,12,Fashion,Magelang,COD,148894
O71,3,Kesehatan,Semarang,COD,257737
O72,9,Fashion,Solo,COD,260375
O73,20,Kesehatan,Magelang,E-Wallet,156277
O74,1,Fashion,Yogyakarta,Transfer Bank,233207
O75,19,Fashion,Yogyakarta,E-Wallet,193445
O76,19,Rumah Tangga,Solo,COD,413485
O77,14,Makanan,Semarang,Kartu Kredit,253406
O78,9,Kesehatan,Solo,Kartu Kredit,224782
O79,7,Rumah Tangga,Solo,Transfer Bank,208272
O80,8,Makanan,Semarang,Transfer Bank,281687
O81,3,Elektronik,Purworejo,E-Wallet,421222
O82,5,Fashion,Magelang,E-Wallet,120216
O83,5,Fashion,Purworejo,Kartu Kredit,192494
O84,14,Makanan,Solo,COD,65828
O85,2,Rumah Tangga,Yogyakarta,COD,153282
O86,11,Elektronik,Purworejo,COD,200438
O87,18,Rumah Tangga,Solo,COD,292636
O88,16,Makanan,Magelang,Kartu Kredit,295472
O89,18,Makanan,Solo,Transfer Bank,93758
O90,5,Fashion,Yogyakarta,E-Wallet,84575
O91,11,Rumah Tangga,Yogyakarta,COD,159450
O92,15,Fashion,Purworejo,Kartu Kredit,77623
O93,8,Elektronik,Semarang,Transfer Bank,204556
O94,4,Elektronik,Yogyakarta,Transfer Bank,351551
O95,4,Kesehatan,Solo,Kartu Kredit,441316
O96,4,Fashion,Semarang,E-Wallet,155693
O97,18,Kesehatan,Solo,E-Wallet,330179
O98,7,Makanan,Semarang,E-Wallet,259586
O99,9,Makanan,Semarang,E-Wallet,145760
O100,18,Kesehatan,Magelang,Kartu Kredit,139279
O101,2,Fashion,Yogyakarta,E-Wallet,294691
O102,8,Elektronik,Semarang,E-Wallet,411560
O103,5,Kesehatan,Purworejo,COD,377694
O104,9,Rumah Tangga,Purworejo,Kartu Kredit,123337
O105,6,Fashion,Semarang,E-Wallet,97260
O106,6,Kesehatan,Purworejo,Transfer Bank,350601
O107,19,Rumah Tangga,Solo,Transfer Bank,466961
O108,16,Elektronik,Purworejo,E-Wallet,421613
